Time;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC]
18/09/2020 16:58:40,783;38,609351;-14,885031;32,571189;31,291748;47,203215;27,242052;49,672828;31,051949
18/09/2020 16:58:41,783;38,608734;-14,883817;32,555484;31,281435;47,151771;27,242052;49,878597;31,000503
18/09/2020 16:58:42,782;38,608271;-14,882298;32,541166;31,2722;47,151771;27,293491;49,775712;31,000503
18/09/2020 16:58:43,784;38,609197;-14,881235;32,512682;31,255269;47,254658;27,190613;49,827155;30,794719
18/09/2020 16:58:44,784;38,60858;-14,879565;32,497748;31,246341;47,717647;27,242052;49,72427;31,051949
18/09/2020 16:58:45,783;38,607963;-14,878047;32,481428;31,238491;47,203215;27,190613;49,878597;31,051949
18/09/2020 16:58:46,784;38,608888;-14,877591;32,46557;31,230334;47,151771;27,190613;49,981481;31,103396
18/09/2020 16:58:47,784;38,608888;-14,875466;32,437549;31,21525;47,306101;27,190613;49,981481;31,051949
18/09/2020 16:58:48,784;38,609042;-14,874706;32,421383;31,207862;47,203215;27,293491;50,135808;31,000503
18/09/2020 16:58:49,783;38,608117;-14,873947;32,407527;31,198473;47,306101;27,293491;50,135808;31,206288
18/09/2020 16:58:50,783;38,605957;-14,873795;32,391361;31,191085;47,254658;27,242052;50,135808;31,103396
18/09/2020 16:58:51,784;38,605186;-14,874555;32,378429;31,182466;47,306101;27,396369;50,290135;31,103396
18/09/2020 16:58:52,783;38,604415;-14,900215;32,350255;31,166304;47,306101;27,293491;50,290135;31,051949
18/09/2020 16:58:53,783;38,604723;-14,900063;32,3384;31,15907;47,048885;27,293491;50,495905;31,000503
18/09/2020 16:58:54,783;38,603027;-14,901885;32,325006;31,151067;47,151771;27,293491;50,547347;31,051949
18/09/2020 16:58:55,784;38,603952;-14,900063;32,311458;31,144449;47,151771;27,190613;50,547347;31,051949
18/09/2020 16:58:56,784;38,603335;-14,898545;32,285902;31,137061;47,100328;27,190613;50,650232;31,000503
18/09/2020 16:58:57,783;38,603952;-14,895964;32,273278;31,132597;47,048885;27,190613;50,547347;31,000503
18/09/2020 16:58:58,783;38,604261;-14,897178;32,259884;31,127672;47,151771;27,293491;50,701674;31,051949
18/09/2020 16:58:59,783;38,60349;-14,896723;32,247414;31,123516;47,100328;27,190613;50,907443;31,000503
18/09/2020 16:59:00,784;38,604415;-14,895204;32,221396;31,114281;47,151771;27,293491;50,856001;31,103396
18/09/2020 16:59:01,784;38,603644;-14,896115;32,208773;31,11028;47,100328;27,139174;51,06177;31,051949
18/09/2020 16:59:02,784;38,603952;-14,892623;32,196611;31,105047;47,151771;27,242052;51,010328;31,000503
18/09/2020 16:59:03,783;38,604261;-14,894142;32,183371;31,09966;47,254658;27,190613;51,06177;31,000503
18/09/2020 16:59:04,782;38,60349;-14,893686;32,162434;31,087809;46,945998;27,396369;51,267539;31,051949
18/09/2020 16:59:05,783;38,60349;-14,892623;32,151812;31,081806;46,945998;27,190613;51,318982;31,051949
18/09/2020 16:59:06,783;38,603335;-14,891712;32,142267;31,076265;46,945998;27,139174;51,421866;30,897611
18/09/2020 16:59:07,783;38,602564;-14,891712;32,131029;31,068877;46,997442;27,242052;51,524751;30,949057
18/09/2020 16:59:08,783;38,603335;-14,89156;32,119637;31,06149;46,945998;27,190613;51,627635;31,051949
