Time;Tempo de processo;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC]
14:58:50;3,97;37,438218;17,866594;31,765736;31,643937;61,092884;26,367589;62,121867;29,611459
14:58:51;3,98;37,438526;17,867667;31,763273;31,644091;60,938554;26,367589;62,173309;29,45712
14:58:52;4,00;37,439605;17,868894;31,764042;31,641013;61,041441;26,367589;62,224751;29,560013
14:58:53;4,02;37,438989;17,869354;31,766197;31,641013;60,989998;26,31615;62,070424;29,508566
14:58:54;4,03;37,439451;17,869201;31,766967;31,639165;60,938554;26,31615;62,430521;29,611459
14:58:55;4,05;37,440376;17,869967;31,767737;31,640397;60,938554;26,31615;62,430521;29,45712
14:58:56;4,07;37,439143;17,869354;31,768968;31,639935;60,887111;26,367589;62,481963;29,560013
14:58:57;4,08;37,438834;17,869354;31,769584;31,641167;60,938554;26,367589;62,533405;29,662905
14:58:58;4,10;37,439605;17,870274;31,768506;31,641628;61,041441;26,31615;62,481963;29,611459
14:58:59;4,12;37,43976;17,869814;31,768506;31,643783;61,041441;26,367589;62,584847;29,611459
14:59:00;4,13;37,43976;17,870274;31,770046;31,643168;61,041441;26,31615;62,481963;29,560013
14:59:01;4,15;37,441147;17,869814;31,769584;31,639473;60,887111;26,31615;62,533405;29,662905
14:59:02;4,17;37,440068;17,87104;31,769584;31,638857;60,835668;26,264711;62,687732;29,662905
14:59:03;4,18;37,439143;17,87104;31,769584;31,63701;60,835668;26,31615;62,63629;29,560013
14:59:04;4,20;37,438834;17,870274;31,769892;31,635471;60,835668;26,31615;62,790617;29,611459
14:59:05;4,22;37,43683;17,867974;31,768198;31,632392;60,835668;26,31615;62,739174;29,662905
14:59:06;4,23;37,439451;17,867361;31,768352;31,631315;60,887111;26,419028;62,842059;29,662905
14:59:07;4,25;37,436522;17,867514;31,768968;31,630391;60,887111;26,367589;62,944944;29,662905
14:59:08;4,27;37,436213;17,865521;31,767583;31,626235;60,887111;26,367589;62,944944;29,662905
14:59:09;4,28;37,433746;17,866594;31,768352;31,625311;60,887111;26,31615;62,893501;29,714351
14:59:10;4,30;37,433284;17,864908;31,766659;31,622694;60,835668;26,31615;62,944944;29,714351
14:59:11;4,32;37,431896;17,863835;31,766967;31,620385;60,835668;26,31615;63,099271;29,714351
14:59:12;4,33;37,4302;17,861382;31,765582;31,618076;60,835668;26,367589;63,047828;29,662905
14:59:13;4,35;37,42912;17,860155;31,765274;31,616845;60,887111;26,367589;63,099271;29,662905
14:59:14;4,37;37,427578;17,860308;31,766043;31,612996;60,835668;26,367589;63,253597;29,765797
14:59:15;4,38;37,426962;17,861228;31,767275;31,60884;60,835668;26,367589;63,356482;29,611459
14:59:16;4,40;37,424957;17,858775;31,765428;31,601297;60,887111;26,31615;63,356482;29,714351
14:59:17;4,42;37,426037;17,858622;31,765274;31,59791;60,835668;26,213272;63,30504;29,662905
14:59:18;4,43;37,427424;17,859542;31,765274;31,594524;60,784225;26,31615;63,407924;29,662905
14:59:19;4,45;37,426499;17,858775;31,76435;31,590983;60,784225;26,367589;63,510809;29,662905
14:59:20;4,47;37,425728;17,858775;31,764504;31,587597;60,835668;26,31615;63,665136;29,714351
