Time;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC];
15/10/2020 14:51:30,621;39,470458;17,481183;32,163666;32,154586;69,375242;24,875857;63,253597;28,891213;
15/10/2020 14:51:31,620;39,473236;17,482103;32,167514;32,157511;69,375242;24,875857;63,30504;28,891213;
15/10/2020 14:51:32,620;39,475704;17,48195;32,173826;32,158897;69,478129;24,875857;63,253597;28,942659;
15/10/2020 14:51:33,620;39,476784;17,483943;32,177213;32,16136;69,426686;24,927296;63,459367;28,942659;
15/10/2020 14:51:34,621;39,482338;17,484556;32,18568;32,165979;69,375242;24,824418;63,407924;28,994105;
15/10/2020 14:51:35,620;39,484036;17,487009;32,190299;32,16798;69,272356;24,875857;63,407924;28,942659;
15/10/2020 14:51:36,620;39,483727;17,488388;32,19307;32,170906;69,272356;24,824418;63,356482;28,994105;
15/10/2020 14:51:37,620;39,486196;17,487775;32,195533;32,173215;69,272356;24,875857;63,407924;28,942659;
15/10/2020 14:51:38,621;39,485578;17,488542;32,204308;32,179989;69,426686;24,824418;63,459367;29,045552;
15/10/2020 14:51:39,621;39,485116;17,487469;32,206001;32,182607;69,426686;24,772979;63,356482;28,994105;
15/10/2020 14:51:40,621;39,483573;17,486855;32,20908;32,184454;69,478129;24,824418;63,459367;28,942659;
15/10/2020 14:51:41,621;39,483727;17,485782;32,212159;32,189227;69,323799;24,824418;63,562251;29,045552;
15/10/2020 14:51:42,622;39,483264;17,48287;32,216624;32,19554;69,529572;24,824418;63,510809;29,045552;
15/10/2020 14:51:43,620;39,481104;17,48057;32,221396;32,198927;69,323799;24,824418;63,510809;29,096998;
15/10/2020 14:51:44,620;39,47771;17,479957;32,223706;32,205085;69,375242;24,875857;63,97379;29,045552;
15/10/2020 14:51:45,622;39,477401;17,477351;32,226785;32,207549;69,529572;24,875857;63,459367;29,096998;
15/10/2020 14:51:46,620;39,474624;17,475205;32,232173;32,213707;69,529572;24,875857;63,510809;29,045552;
15/10/2020 14:51:47,621;39,474007;17,473212;32,236945;32,214323;69,581015;24,927296;63,510809;29,096998;
15/10/2020 14:51:48,621;39,471847;17,46984;32,24141;32,217402;69,786788;24,824418;63,562251;29,096998;
15/10/2020 14:51:49,620;39,469224;17,470299;32,243411;32,22002;69,683902;25,030174;63,613694;29,148444;
15/10/2020 14:51:50,620;39,468607;17,468;32,247106;32,224331;69,683902;24,824418;63,665136;28,994105;
15/10/2020 14:51:51,621;39,464596;17,463248;32,257883;32,231567;69,735345;24,824418;63,665136;29,096998;
15/10/2020 14:51:52,621;39,461201;17,463248;32,263271;32,237264;69,683902;24,772979;63,768021;29,045552;
15/10/2020 14:51:53,620;39,459196;17,461715;32,268813;32,240497;69,735345;24,824418;63,870905;29,148444;
15/10/2020 14:51:54,622;39,456727;17,460488;32,274971;32,245578;69,683902;24,875857;63,819463;29,148444;
15/10/2020 14:51:55,621;39,456881;17,457116;32,285902;32,252968;69,683902;24,875857;63,922347;29,148444;
15/10/2020 14:51:56,621;39,454413;17,454663;32,29206;32,258819;69,735345;24,824418;63,870905;29,19989;
15/10/2020 14:51:57,620;39,45395;17,452977;32,298372;32,263284;69,735345;24,927296;64,025232;29,148444;
15/10/2020 14:51:58,621;39,454876;17,452364;32,304684;32,267133;69,581015;24,927296;63,922347;29,251336;
15/10/2020 14:51:59,620;39,450556;17,450218;32,313922;32,276063;69,632458;24,875857;64,128117;29,19989;
15/10/2020 14:52:00,620;39,449013;17,448378;32,323005;32,282222;69,426686;24,772979;64,128117;29,19989;
15/10/2020 14:52:01,621;39,446699;17,445159;32,3267;32,285609;69,323799;24,824418;64,179559;29,148444;
15/10/2020 14:52:02,620;39,44639;17,444239;32,332704;32,290228;69,375242;24,824418;64,128117;29,251336;
