Time;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC];
18/09/2020 14:48:02,319;37,900978;-24,380417;33,394546;31,473533;63,973704;25,75032;63,819463;29,045552;
18/09/2020 14:48:03,320;37,899744;-24,370424;33,40317;31,490004;64,128034;25,75032;63,768021;29,148444;
18/09/2020 14:48:04,320;37,90144;-24,371029;33,407021;31,49847;64,179477;25,698881;63,768021;29,148444;
18/09/2020 14:48:05,320;37,899435;-24,365276;33,411641;31,505243;64,282364;25,493125;63,819463;29,096998;
18/09/2020 14:48:06,320;37,901132;-24,36467;33,414721;31,511554;64,23092;25,596003;63,922347;29,148444;
18/09/2020 14:48:07,320;37,898356;-24,36997;33,423499;31,526793;64,179477;25,647442;64,128117;29,19989;
18/09/2020 14:48:08,320;37,899435;-24,36679;33,428735;31,533258;64,23092;25,596003;64,076674;29,251336;
18/09/2020 14:48:09,320;37,900669;-24,369818;33,431815;31,539416;64,23092;25,647442;64,179559;29,148444;
18/09/2020 14:48:10,320;37,898202;-24,374966;33,435974;31,544342;64,38525;25,75032;64,231001;29,251336;
18/09/2020 14:48:11,320;37,89851;-24,375572;33,445522;31,554501;64,38525;25,647442;64,231001;29,251336;
18/09/2020 14:48:12,320;37,900361;-24,376632;33,451066;31,560658;64,53958;25,647442;64,231001;29,302782;
18/09/2020 14:48:13,320;37,898356;-24,379811;33,456302;31,565892;64,591023;25,75032;64,179559;29,19989;
18/09/2020 14:48:14,320;37,897893;-24,384354;33,462309;31,570664;64,693909;25,647442;64,231001;29,19989;
18/09/2020 14:48:15,320;37,898819;-24,379357;33,466621;31,574666;64,642466;25,75032;64,231001;29,354228;
18/09/2020 14:48:16,320;37,897276;-24,381477;33,476323;31,586519;64,796796;25,698881;64,231001;29,302782;
18/09/2020 14:48:17,320;37,897739;-24,382537;33,482792;31,588674;64,796796;25,698881;64,282444;29,302782;
18/09/2020 14:48:18,320;37,897122;-24,385111;33,48849;31,593138;65,002569;25,698881;64,128117;29,302782;
18/09/2020 14:48:19,320;37,896351;-24,379206;33,491878;31,597449;65,105455;25,75032;64,333886;29,251336;
18/09/2020 14:48:20,320;37,896197;-24,380871;33,501427;31,604684;65,156898;25,801759;64,128117;29,251336;
18/09/2020 14:48:21,320;37,897893;-24,38178;33,506663;31,607301;65,259785;25,75032;64,179559;29,405674;
18/09/2020 14:48:22,320;37,896043;-24,384657;33,510359;31,612688;65,208342;25,75032;63,97379;29,302782;
18/09/2020 14:48:23,320;37,895734;-24,377692;33,516211;31,61746;65,208342;25,75032;63,922347;29,251336;
18/09/2020 14:48:24,320;37,89666;-24,377843;33,52576;31,627466;65,311228;25,75032;63,97379;29,354228;
18/09/2020 14:48:25,320;37,895734;-24,378449;33,528378;31,635163;65,208342;25,698881;64,076674;29,302782;
18/09/2020 14:48:26,320;37,896351;-24,376329;33,533153;31,640397;65,208342;25,698881;64,179559;29,405674;
18/09/2020 14:48:27,319;37,896814;-24,375269;33,536849;31,647016;65,002569;25,647442;64,076674;29,302782;
18/09/2020 14:48:28,320;37,894809;-24,3786;33,547014;31,658561;65,002569;25,75032;64,179559;29,405674;
18/09/2020 14:48:29,320;37,894809;-24,382991;33,553328;31,664103;65,156898;25,698881;64,333886;29,354228;
18/09/2020 14:48:30,320;37,89558;-24,381174;33,555792;31,669953;65,054012;25,647442;64,333886;29,302782;
18/09/2020 14:48:31,320;37,892958;-24,381931;33,559488;31,675033;64,899682;25,698881;64,488213;29,354228;
18/09/2020 14:48:32,320;37,892496;-24,377389;33,563493;31,681498;64,796796;25,698881;64,488213;29,302782;
18/09/2020 14:48:33,321;37,891879;-24,382083;33,569499;31,691504;64,796796;25,698881;64,591098;29,354228;
18/09/2020 14:48:34,320;37,891262;-24,379963;33,571193;31,693813;64,745353;25,698881;64,488213;29,405674;
18/09/2020 14:48:35,319;37,890645;-24,381174;33,57412;31,698586;64,591023;25,596003;64,693982;29,405674;
18/09/2020 14:48:36,320;37,891571;-24,382386;33,575198;31,704743;64,436693;25,596003;64,64254;29,354228;
18/09/2020 14:48:37,320;37,890491;-24,383143;33,579972;31,713672;64,38525;25,596003;64,64254;29,354228;
18/09/2020 14:48:38,320;37,889874;-24,395256;33,583514;31,719367;64,436693;25,698881;64,64254;29,45712;
18/09/2020 14:48:39,320;37,890028;-24,392379;33,585362;31,723678;64,436693;25,596003;64,591098;29,405674;
18/09/2020 14:48:40,319;37,889566;-24,393287;33,587211;31,727218;64,282364;25,75032;64,745424;29,508566;
18/09/2020 14:48:41,320;37,889874;-24,388139;33,591369;31,738148;64,23092;25,75032;64,693982;29,45712;
18/09/2020 14:48:42,320;37,889257;-24,391622;33,593063;31,743228;64,128034;25,75032;64,848309;29,45712;
18/09/2020 14:48:43,319;37,889874;-24,391016;33,594295;31,747693;64,076591;25,647442;64,796867;29,508566;
18/09/2020 14:48:44,320;37,891571;-24,388139;33,594911;31,754004;63,922261;25,647442;64,848309;29,45712;
18/09/2020 14:48:45,321;37,890183;-24,386171;33,601842;31,761701;63,870818;25,647442;64,951194;29,405674;
18/09/2020 14:48:46,320;37,890491;-24,384354;33,603382;31,768475;63,767931;25,698881;64,951194;29,45712;
18/09/2020 14:48:47,320;37,891262;-24,3839;33,604152;31,772016;63,665045;25,75032;65,105521;29,508566;
18/09/2020 14:48:48,321;37,890491;-24,38284;33,605384;31,776634;63,562159;25,75032;65,208405;29,560013;
18/09/2020 14:48:49,320;37,891262;-24,385111;33,607078;31,780636;63,510715;25,596003;65,259848;29,508566;
18/09/2020 14:48:50,320;37,893575;-24,381931;33,611083;31,789257;63,407829;25,698881;65,208405;29,560013;
18/09/2020 14:48:51,320;37,894192;-24,382991;33,613085;31,793568;63,407829;25,698881;65,259848;29,560013;
18/09/2020 14:48:52,320;37,895426;-24,382991;33,612315;31,7968;63,407829;25,647442;65,259848;29,560013;
18/09/2020 14:48:53,320;37,895889;-24,389351;33,612161;31,801573;63,304942;25,647442;65,259848;29,560013;
18/09/2020 14:48:54,320;37,895117;-24,377237;33,613547;31,807577;63,150613;25,647442;65,259848;29,560013;
18/09/2020 14:48:55,320;37,896505;-24,374209;33,614471;31,810809;63,150613;25,647442;65,259848;29,611459;
18/09/2020 14:48:56,320;37,895889;-24,36785;33,612623;31,81358;63,253499;25,698881;65,208405;29,508566;
18/09/2020 14:48:57,320;37,896968;-24,372695;33,612777;31,816813;63,202056;25,698881;65,208405;29,560013;
18/09/2020 14:48:58,320;37,897276;-24,379357;33,615087;31,823741;63,253499;25,698881;65,208405;29,560013;
18/09/2020 14:48:59,320;37,898048;-24,374512;33,616473;31,82605;63,253499;25,698881;65,156963;29,560013;
