Time;Hora;Tempo (min);PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC];
18/08/2020 14:51:34,070;14:51:34;2,00;34,863444;-49,437588;27,57333;26,152417;75,239769;21,480882;53,788212;22,769127;
18/08/2020 14:51:35,071;14:51:35;2,02;34,864522;-49,420453;27,607767;26,181157;75,291213;21,480882;53,891097;22,717681;
18/08/2020 14:51:36,069;14:51:36;2,03;34,863444;-49,39971;27,642051;26,209742;75,291213;21,58376;53,942539;22,769127;
18/08/2020 14:51:37,071;14:51:37;2,05;34,861749;-49,358524;27,703855;26,267991;75,239769;21,532321;53,993982;22,717681;
18/08/2020 14:51:38,069;14:51:38;2,07;34,862827;-49,342742;27,732759;26,294579;75,291213;21,480882;54,302636;22,769127;
18/08/2020 14:51:39,070;14:51:39;2,08;34,862365;-49,330867;27,761202;26,321937;75,188326;21,429443;54,302636;22,769127;
18/08/2020 14:51:40,070;14:51:40;2,10;34,860978;-49,309222;27,790721;26,34914;75,291213;21,480882;54,40552;22,769127;
18/08/2020 14:51:41,069;14:51:41;2,12;34,862827;-49,287276;27,846224;26,403702;75,291213;21,532321;54,40552;22,717681;
18/08/2020 14:51:42,071;14:51:42;2,13;34,862827;-49,273146;27,8719;26,428294;75,188326;21,480882;54,508405;22,923466;
18/08/2020 14:51:43,070;14:51:43;2,15;34,863135;-49,269689;27,900344;26,456421;75,239769;21,378004;54,765616;22,87202;
18/08/2020 14:51:44,070;14:51:44;2,17;34,86067;-49,252101;27,926943;26,481628;75,394099;21,532321;54,868501;22,87202;
18/08/2020 14:51:45,069;14:51:45;2,18;34,86406;-49,248494;27,981834;26,532349;75,342656;21,532321;55,022828;22,974912;
18/08/2020 14:51:46,070;14:51:46;2,20;34,861595;-49,254056;28,006588;26,561092;75,239769;21,480882;55,022828;22,974912;
18/08/2020 14:51:47,070;14:51:47;2,22;34,862519;-49,239324;28,032419;26,58384;75,342656;21,429443;55,177155;23,026358;
18/08/2020 14:51:48,071;14:51:48;2,23;34,862211;-49,24203;28,058866;26,610738;75,239769;21,532321;55,537251;23,026358;
18/08/2020 14:51:49,070;14:51:49;2,25;34,862673;-49,226397;28,083621;26,6361;75,188326;21,480882;55,485809;22,923466;
18/08/2020 14:51:50,070;14:51:50;2,27;34,86406;-49,211215;28,138822;26,683442;75,291213;21,378004;55,691578;22,923466;
18/08/2020 14:51:51,070;14:51:51;2,28;34,862673;-49,207758;28,166345;26,707114;75,291213;21,480882;55,691578;22,923466;
18/08/2020 14:51:52,071;14:51:52;2,30;34,862981;-49,195732;28,193715;26,729556;75,291213;21,532321;55,691578;23,026358;
18/08/2020 14:51:53,070;14:51:53;2,32;34,862211;-49,204902;28,219702;26,752151;75,239769;21,480882;55,794463;22,974912;
18/08/2020 14:51:54,070;14:51:54;2,33;34,860978;-49,189569;28,271829;26,793808;75,291213;21,480882;55,897347;23,026358;
18/08/2020 14:51:55,071;14:51:55;2,35;34,861749;-49,185961;28,296739;26,816558;75,342656;21,480882;56,051674;23,026358;
18/08/2020 14:51:56,071;14:51:56;2,37;34,858359;-49,185811;28,321804;26,836694;75,239769;21,532321;56,051674;23,077804;
18/08/2020 14:51:57,071;14:51:57;2,38;34,860208;-49,182203;28,347638;26,859291;75,291213;21,429443;56,154559;23,026358;
18/08/2020 14:51:58,070;14:51:58;2,40;34,857435;-49,17138;28,397153;26,900795;75,291213;21,429443;56,41177;23,12925;
18/08/2020 14:51:59,070;14:51:59;2,42;34,857281;-49,176792;28,420526;26,922162;75,239769;21,378004;56,463213;23,12925;
18/08/2020 14:52:00,070;14:52:00;2,43;34,856973;-49,170178;28,445746;26,942453;75,291213;21,429443;56,668982;23,077804;
18/08/2020 14:52:01,071;14:52:01;2,45;34,856973;-49,170178;28,468812;26,963667;75,291213;21,429443;56,668982;23,180696;
18/08/2020 14:52:02,070;14:52:02;2,47;34,855586;-49,170478;28,515715;27,007017;75,342656;21,480882;56,720424;23,232142;
18/08/2020 14:52:03,070;14:52:03;2,48;34,855432;-49,170027;28,538321;27,027462;75,239769;21,532321;56,874751;23,180696;
18/08/2020 14:52:04,071;14:52:04;2,50;34,854199;-49,165367;28,564002;27,048061;75,239769;21,480882;56,926193;23,386481;
18/08/2020 14:52:05,071;14:52:05;2,52;34,853429;-49,170027;28,585993;27,068661;75,342656;21,480882;57,234847;23,12925;
18/08/2020 14:52:06,070;14:52:06;2,53;34,851734;-49,172583;28,610291;27,091259;75,291213;21,532321;57,28629;23,180696;
18/08/2020 14:52:07,071;14:52:07;2,55;34,85081;-48,834495;28,653658;27,137378;75,239769;21,429443;57,337732;23,12925;
18/08/2020 14:52:08,070;14:52:08;2,57;34,850656;-48,866366;28,676573;27,158131;75,291213;21,532321;57,389174;23,232142;
18/08/2020 14:52:09,071;14:52:09;2,58;34,847882;-48,878693;28,700102;27,181191;75,291213;21,429443;57,492059;23,180696;
18/08/2020 14:52:10,071;14:52:10;2,60;34,848036;-48,886511;28,724555;27,200562;75,291213;21,480882;57,492059;23,283588;
18/08/2020 14:52:11,070;14:52:11;2,62;34,845571;-48,894629;28,77669;27,241455;75,188326;21,429443;57,646386;23,232142;
18/08/2020 14:52:12,070;14:52:12;2,63;34,845879;-48,892674;28,803603;27,260979;75,291213;21,480882;57,697828;23,283588;
18/08/2020 14:52:13,070;14:52:13;2,65;34,844031;-48,894027;28,827441;27,281734;75,291213;21,480882;57,800713;23,386481;
18/08/2020 14:52:14,071;14:52:14;2,67;34,84326;-48,897936;28,850972;27,301873;75,239769;21,378004;57,903597;23,335034;
18/08/2020 14:52:15,070;14:52:15;2,68;34,843414;-48,901694;28,897726;27,341845;75,239769;21,480882;58,263693;23,437927;
18/08/2020 14:52:16,070;14:52:16;2,70;34,842798;-48,903348;28,918181;27,359526;75,342656;21,429443;58,212251;23,335034;
18/08/2020 14:52:17,071;14:52:17;2,72;34,842028;-48,911917;28,940636;27,379204;75,239769;21,480882;58,212251;23,386481;
18/08/2020 14:52:18,069;14:52:18;2,73;34,840795;-48,911616;28,960168;27,397039;75,239769;21,429443;58,315136;23,386481;
18/08/2020 14:52:19,071;14:52:19;2,75;34,842182;-48,918982;28,999849;27,435167;75,291213;21,429443;58,469463;23,437927;
18/08/2020 14:52:20,070;14:52:20;2,77;34,840949;-48,914172;29,020766;27,450234;75,291213;21,480882;58,469463;23,335034;
18/08/2020 14:52:21,069;14:52:21;2,78;34,841103;-48,91778;29,039838;27,465455;75,291213;21,532321;58,572347;23,386481;
18/08/2020 14:52:22,070;14:52:22;2,80;34,841719;-48,91793;29,057987;27,483597;75,291213;21,480882;58,469463;23,386481;
18/08/2020 14:52:23,069;14:52:23;2,82;34,842028;-48,923041;29,07752;27,503737;75,291213;21,429443;58,881001;23,437927;
18/08/2020 14:52:24,070;14:52:24;2,83;34,840641;-48,915976;29,116125;27,542482;75,291213;21,480882;58,829559;23,489373;
18/08/2020 14:52:25,070;14:52:25;2,85;34,840179;-48,902747;29,13489;27,563084;75,291213;21,429443;58,881001;23,437927;
18/08/2020 14:52:26,070;14:52:26;2,87;34,840179;-48,907106;29,153501;27,580304;75,291213;21,429443;59,08677;23,540819;
