time;process_time;sensor_PT100_1;sensor_PT100_2;sensor_PT100_3;sensor_PT100_4;sensor_humidity_1;sensor_TH_1;sensor_humidity_2;sensor_TH_2
15:14:41,314;147,00;42,855331;20,522591;29,902481;29,153544;53,170628;24,20715;49,209847;25,958786
15:14:42,314;148,00;42,857494;20,52213;29,915096;29,166619;53,324958;24,310028;49,158405;25,958786
15:14:43,314;149,00;42,857494;20,52213;29,946019;29,194307;53,222071;24,412906;49,158405;26,010232
15:14:44,314;150,00;42,854868;20,520749;29,962019;29,206767;53,273515;24,361467;49,004078;26,061678
15:14:45,314;151,00;42,855949;20,520443;29,976942;29,222303;53,222071;24,361467;49,05552;26,061678
15:14:46,314;152,00;42,854714;20,521363;29,993096;29,233686;53,222071;24,310028;48,952635;26,061678
15:14:47,313;153,00;42,856412;20,519369;30,022173;29,257991;53,273515;24,310028;49,05552;26,061678
15:14:48,314;154,00;42,853633;20,520289;30,035558;29,270143;53,222071;24,412906;49,05552;26,113124
15:14:49,314;155,00;42,853787;20,518908;30,050328;29,280757;53,222071;24,412906;48,901193;26,16457
15:14:50,315;156,00;42,85425;20,518755;30,063559;29,293371;53,170628;24,361467;48,901193;26,216016
15:14:51,315;157,00;42,851625;20,517988;30,089714;29,313677;53,324958;24,464345;48,849751;26,16457
15:14:52,314;158,00;42,853324;20,51722;30,102484;29,324599;53,222071;24,412906;48,695424;26,113124
15:14:53,315;159,00;42,855486;20,518601;30,115561;29,334444;53,222071;24,464345;48,746866;26,113124
15:14:54,313;160,00;42,856258;20,517988;30,128485;29,345059;53,273515;24,361467;48,695424;26,061678
15:14:55,313;161,00;42,855949;20,517681;30,141255;29,356596;53,273515;24,361467;48,746866;26,16457
15:14:56,314;162,00;42,856104;20,519675;30,169564;29,377056;53,324958;24,412906;48,643981;26,16457
15:14:57,313;163,00;42,857494;20,519369;30,182334;29,38567;53,222071;24,361467;48,489654;26,16457
15:14:58,315;164,00;42,855949;20,519982;30,196181;29,397054;53,273515;24,361467;48,592539;26,16457
15:14:59,314;165,00;42,856412;20,520596;30,208797;29,406592;53,324958;24,361467;48,695424;26,267462
15:15:00,314;166,00;42,857494;20,522437;30,237569;29,427206;53,273515;24,412906;48,541097;26,216016
15:15:01,315;167,00;42,858729;20,522898;30,252339;29,436436;53,324958;24,412906;48,592539;26,216016
15:15:02,314;168,00;42,860737;20,52167;30,266802;29,447666;53,222071;24,361467;48,489654;26,16457
15:15:03,313;169,00;42,861663;20,522898;30,27865;29,457973;53,324958;24,310028;48,489654;26,267462
15:15:04,314;170,00;42,862745;20,524125;30,308037;29,477972;53,376401;24,412906;48,38677;26,216016
15:15:05,314;171,00;42,863362;20,523511;30,3245;29,486587;53,376401;24,412906;48,489654;26,267462
15:15:06,313;172,00;42,860737;20,523511;30,338348;29,495202;53,324958;24,412906;48,438212;26,267462
15:15:07,313;173,00;42,860737;20,524585;30,354658;29,50597;53,376401;24,361467;48,489654;26,267462
15:15:08,315;174,00;42,861972;20,524585;30,370352;29,51797;53,376401;24,361467;48,335328;26,318908
15:15:09,314;175,00;42,860891;20,523972;30,398971;29,545661;53,427844;24,464345;48,232443;26,318908
15:15:10,315;176,00;42,860737;20,522898;30,414973;29,564737;53,376401;24,361467;48,335328;26,370354
15:15:11,314;177,00;42,8612;20,522898;30,429744;29,586275;53,324958;24,310028;48,283885;26,370354
15:15:12,313;178,00;42,860119;20,523204;30,446824;29,61089;53,376401;24,464345;48,283885;26,318908
15:15:13,314;179,00;42,859347;20,52121;30,477751;29,665197;53,427844;24,412906;48,283885;26,473247
15:15:14,314;180,00;42,860891;20,521363;30,4916;29,690736;53,376401;24,412906;48,283885;26,318908
15:15:15,314;181,00;42,857648;20,520136;30,506679;29,719813;53,376401;24,310028;48,181001;26,370354
15:15:16,313;182,00;42,855022;20,520289;30,521758;29,747968;53,427844;24,361467;48,078116;26,4218
15:15:17,314;183,00;42,851161;20,517067;30,54884;29,799354;53,376401;24,412906;47,975231;26,473247
15:15:18,315;184,00;42,848382;20,515379;30,562073;29,826894;53,376401;24,412906;47,872347;26,370354
15:15:19,314;185,00;42,846683;20,516914;30,575152;29,855511;53,376401;24,310028;47,820904;26,4218
15:15:20,314;186,00;42,847764;20,513691;30,587308;29,881974;53,427844;24,412906;47,872347;26,473247
15:15:21,315;187,00;42,846528;20,514152;30,60962;29,934593;53,376401;24,412906;47,769462;26,524693
15:15:22,314;188,00;42,844829;20,511083;30,621161;29,959826;53,479287;24,412906;47,71802;26,473247
15:15:23,315;189,00;42,844984;20,511083;30,631009;29,98152;53,427844;24,310028;47,923789;26,473247
15:15:24,314;190,00;42,845138;20,509088;30,641473;30,002753;53,376401;24,361467;47,769462;26,473247
15:15:25,314;191,00;42,843748;20,508782;30,651783;30,025987;53,427844;24,361467;48,026674;26,524693
15:15:26,314;192,00;42,841277;20,506173;30,676557;30,070915;53,222071;24,361467;48,232443;26,4218
15:15:27,313;193,00;42,841586;20,504178;30,687175;30,095072;53,222071;24,412906;48,335328;26,524693
15:15:28,315;194,00;42,83788;20,502644;30,698562;30,11769;53,222071;24,361467;48,695424;26,473247
15:15:29,315;195,00;42,839115;20,500496;30,71118;30,139232;53,324958;24,310028;48,695424;26,524693
15:15:30,313;196,00;42,834482;20,498501;30,735493;30,184161;53,273515;24,361467;49,158405;26,576139
15:15:31,315;197,00;42,831393;20,496967;30,74765;30,206011;53,273515;24,464345;49,569943;26,576139
